Word,Engine Output,Lexicon Answer,Final Output,Match,Notes
শিরোনাম,sh - i - r - O - n - a - m,sh - i - r - O - n - a - m,sh - i - r - O - n - a - m,✅,
প্রতিবেদন,pr - o - t - i - b - e - d - o - n,pr - O - t - i - b - e - d - o - n,pr - O - t - i - b - e - d - o - n,❌,
সম্পাদকীয়,sh - o - mp - a - d - k - i - y,sh - o - mp - a - d - O - k - i - y - O,sh - o - mp - a - d - O - k - i - y - O,❌,
জায়নামাজ,j - a - y - n - a - m - a - j,j - a - y - n - a - m - a - j,j - a - y - n - a - m - a - j,✅,
তসবিহ,t - o - sh - b - i - h,t - o - s - b - i - h,t - o - s - b - i - h,❌,
মালা,m - a - l - a,m - a - l - a,m - a - l - a,✅,
প্রদীপ,pr - o - d - i - p,pr - O - d - i - p,pr - O - d - i - p,❌,
ধূপ,dh - u - p,dh - u - p,dh - u - p,✅,
অ্যাম্বুলেন্স,A - mb - u - l - e - n - sh - O,A - mb - u - l - e - n - s,A - mb - u - l - e - n - s,❌,
জরুরি বিভাগ,j - O - r - u - r - i - | - b - i - bh - a - g,j - O - r - u - r - i - | - b - i - bh - a - g,j - O - r - u - r - i - | - b - i - bh - a - g,✅,
প্রাথমিক চিকিৎসা,pr - a - th - m - i - k - | - ch - i - k - i - t - sh - a,pr - a - th - O - m - i - k - | - ch - i - k - i - t - sh - a,pr - a - th - O - m - i - k - | - ch - i - k - i - t - sh - a,❌,
অগ্নিনির্বাপক,o - g - n - i - n - i - r - b - a - p - o - k,O - g - n - i - n - i - r - b - a - p - o - k,O - g - n - i - n - i - r - b - a - p - o - k,❌,
উদ্ধারকর্মী,u - d - dh - a - r - k - r - m - i,u - d - dh - a - r - k - O - r - m - i,u - d - dh - a - r - k - O - r - m - i,❌,
মেরামত,m - e - r - a - m - o - t,m - e - r - a - m - o - t,m - e - r - a - m - o - t,✅,
প্লাম্বার,p - l - a - mb - a - r,p - l - a - mb - a - r,p - l - a - mb - a - r,✅,
ইলেকট্রিশিয়ান,i - l - e - k - T - r - i - sh - i - y - a - n,i - l - e - k - T - r - i - sh - i - y - a - n,i - l - e - k - T - r - i - sh - i - y - a - n,✅,
ফিউজ,ph - i - u - j,ph - i - u - j,ph - i - u - j,✅,
পাইপ লিক,p - a - i - p - | - l - i - k,p - a - i - p - | - l - i - k,p - a - i - p - | - l - i - k,✅,
শর্ট সার্কিট,sh - o - r - T - O - | - sh - a - r - k - i - T,sh - o - r - T - | - s - a - r - k - i - T,sh - o - r - T - | - s - a - r - k - i - T,❌,
খেলনা,kh - E - l - n - a,kh - E - l - n - a,kh - E - l - n - a,✅,
ডায়াপার,D - a - y - a - p - a - r,D - a - y - a - p - a - r,D - a - y - a - p - a - r,✅,
ফিডার,ph - i - D - a - r,ph - i - D - a - r,ph - i - D - a - r,✅,
শিশুখাদ্য,sh - i - sh - u - kh - a - d - d - O,sh - i - sh - u - kh - a - d - d - O,sh - i - sh - u - kh - a - d - d - O,✅,
লালনপালন,l - a - l - n - p - a - l - O - n,l - a - l - O - n - p - a - l - O - n,l - a - l - O - n - p - a - l - O - n,❌,
হুইলচেয়ার,h - u - i - l - ch - e - y - a - r,u - i - l - ch - e - y - a - r,u - i - l - ch - e - y - a - r,❌,
ওয়াকার,O - y - a - k - a - r,O - y - a - k - a - r,O - y - a - k - a - r,✅,
বার্ধক্য,b - a - r - dh - o - k - k - O,b - a - r - dh - o - k - k - O,b - a - r - dh - o - k - k - O,✅,
যত্ন,j - o - t - n - O,j - o - t - n - O,j - o - t - n - O,✅,
ওষুধের সময়সূচি,O - sh - u - dh - e - r - | - sh - o - m - y - sh - u - ch - i,O - sh - u - dh - e - r - | - sh - o - m - o - y - sh - u - ch - i,O - sh - u - dh - e - r - | - sh - o - m - o - y - sh - u - ch - i,❌,
যাই হোক,j - a - i - | - h - O - k,j - a - i - | - h - O - k,j - a - i - | - h - O - k,✅,
মানে,m - a - n - e,m - a - n - e,m - a - n - e,✅,
আসলে,a - sh - l - e,a - sh - O - l - e,a - sh - O - l - e,❌,
সত্যি বলতে,sh - O - t - t - i - | - b - o - l - t - e,sh - O - t - t - i - | - b - o - l - t - e,sh - O - t - t - i - | - b - o - l - t - e,✅,
কী বলব,k - i - | - b - o - l - o - b,k - i - | - b - O - l - b - O,k - i - | - b - O - l - b - O,❌,
নমনীয়,n - o - m - n - i - y,n - o - m - O - n - i - y - O,n - o - m - O - n - i - y - O,❌,
কঠোর,k - o - Th - O - r,k - o - Th - O - r,k - o - Th - O - r,✅,
স্বাধীন,sh - a - dh - i - n,sh - a - dh - i - n,sh - a - dh - i - n,✅,
নির্ভরশীল,n - i - r - bh - r - sh - i - l,n - i - r - bh - o - r - sh - i - l,n - i - r - bh - o - r - sh - i - l,❌,
একগুঁয়ে,e - k - g - u~ - y - e,e - k - g - u~ - y - e,e - k - g - u~ - y - e,✅,
বিনয়ী,b - i - n - y - i,b - i - n - O - y - i,b - i - n - O - y - i,❌,
বঁটি,b - O~ - T - i,b - O~ - T - i,b - O~ - T - i,✅,
বিদ্যালয়,b - i - d - d - a - l - o - y,b - i - d - d - a - l - o - y,b - i - d - d - a - l - o - y,✅,
খাতা,kh - a - t - a,kh - a - t - a,kh - a - t - a,✅,
সেতার,sh - e - t - a - r,sh - e - t - a - r,sh - e - t - a - r,✅,
গোলরক্ষক,g - O - l - r - o - kkh - o - k,g - O - l - r - o - kkh - o - k,g - O - l - r - o - kkh - o - k,✅,
শাটলকক,sh - a - T - l - k - o - k,sh - a - T - o - l - k - o - k,sh - a - T - o - l - k - o - k,❌,
কলিজা,k - O - l - i - j - a,k - O - l - i - j - a,k - O - l - i - j - a,✅,
মেরুদণ্ড,m - e - r - u - d - o - n - D - O,m - e - r - u - d - o - n - D - O,m - e - r - u - d - o - n - D - O,✅,
স্নায়ু,sn - a - y - u,sn - a - y - u,sn - a - y - u,✅,
ধমনী,dh - o - m - n - i,dh - o - m - O - n - i,dh - o - m - O - n - i,❌,
কুমোর,k - u - m - O - r,k - u - m - O - r,k - u - m - O - r,✅,
ভাশুর,bh - a - sh - u - r,bh - a - sh - u - r,bh - a - sh - u - r,✅,
চেয়ারম্যান,ch - e - y - a - r - m - a - n,ch - e - y - a - r - m - A - n,ch - e - y - a - r - m - A - n,❌,
মেয়র,m - e - y - o - r,m - e - y - O - r,m - e - y - O - r,❌,
সচিব,sh - O - ch - i - b,sh - O - ch - i - b,sh - O - ch - i - b,✅,
চেক,ch - e - k,ch - e - k,ch - e - k,✅,
কীবোর্ড,k - i - b - O - r - D - O,k - i - b - O - r - D,k - i - b - O - r - D,❌,
মাউস,m - a - u - sh,m - a - u - s,m - a - u - s,❌,
স্ক্রিন,sh - k - r - i - n,s - k - r - i - n,s - k - r - i - n,❌,
সালোয়ার,sh - a - l - O - y - a - r,s - a - l - O - y - a - r,s - a - l - O - y - a - r,❌,
গেঞ্জি,g - e - nj - i,g - e - nj - i,g - e - nj - i,✅,
গহনা,g - o - h - n - a,g - o - h - O - n - a,g - o - h - O - n - a,❌,
কানের দুল,k - a - n - e - r - | - d - u - l,k - a - n - e - r - | - d - u - l,k - a - n - e - r - | - d - u - l,✅,
নাকফুল,n - a - k - ph - u - l,n - a - k - ph - u - l,n - a - k - ph - u - l,✅,
আমগাছ,a - m - g - a - chh,a - m - g - a - chh,a - m - g - a - chh,✅,
বটগাছ,b - o - T - g - a - chh,b - o - T - g - a - chh,b - o - T - g - a - chh,✅,
নারিকেল গাছ,n - a - r - i - k - e - l - | - g - a - chh,n - a - r - i - k - e - l - | - g - a - chh,n - a - r - i - k - e - l - | - g - a - chh,✅,
বাঁশ,b - a~ - sh,b - a~ - sh,b - a~ - sh,✅,
সেগুন,sh - e - g - u - n,sh - e - g - u - n,sh - e - g - u - n,✅,
শাল,sh - a - l,sh - a - l,sh - a - l,✅,
বক,b - o - k,b - o - k,b - o - k,✅,
পটল,p - o - T - O - l,p - o - T - O - l,p - o - T - O - l,✅,
লাউ,l - a - u,l - a - u,l - a - u,✅,
মুলা,m - u - l - a,m - u - l - a,m - u - l - a,✅,
পেয়ারা,p - e - y - a - r - a,p - e - y - a - r - a,p - e - y - a - r - a,✅,
আনারস,a - n - a - r - o - sh,a - n - a - r - o - sh,a - n - a - r - o - sh,✅,
ধনিয়া,dh - O - n - i - y - a,dh - O - n - i - y - a,dh - O - n - i - y - a,✅,
রান্না,r - a - nn - a,r - a - nn - a,r - a - nn - a,✅,
বাটা,b - a - T - a,b - a - T - a,b - a - T - a,✅,
হিংসা,h - i - ng - sh - a,h - i - ng - sh - a,h - i - ng - sh - a,✅,
করুণা,k - O - r - u - n - a,k - O - r - u - n - a,k - O - r - u - n - a,✅,
সম্প্রচার,sh - o - m - p - r - ch - a - r,sh - o - m - p - r - O - ch - a - r,sh - o - m - p - r - O - ch - a - r,❌,
ব্যাট,b - A - T,b - A - T,b - A - T,✅,
স্টাম্প,s - T - a - mp - O,s - T - a - mp,s - T - a - mp,❌,
হেলমেট,h - E - l - m - e - T,h - e - l - m - e - T,h - e - l - m - e - T,❌,
র‌্যাকেট,r - O - j - a - k - e - T,r - A - k - e - T,r - A - k - e - T,❌,
নেট,n - e - T,n - e - T,n - e - T,✅,
মোড়,m - O - r,m - O - r,m - O - r,✅,
ফ্লাইওভার,ph - l - a - i - O - bh - a - r,ph - l - a - i - O - bh - a - r,ph - l - a - i - O - bh - a - r,✅,
ডাকঘর,D - a - k - gh - O - r,D - a - k - gh - o - r,D - a - k - gh - o - r,❌,
ডাকটিকিট,D - a - k - T - i - k - i - T,D - a - k - T - i - k - i - T,D - a - k - T - i - k - i - T,✅,
কুরিয়ার,k - u - r - i - y - a - r,k - u - r - i - y - a - r,k - u - r - i - y - a - r,✅,
বন উজাড়,b - o - n - | - u - j - a - r,b - o - n - | - u - j - a - r,b - o - n - | - u - j - a - r,✅,
বৃক্ষরোপণ,b - ri - kkh - r - O - p - o - n,b - ri - kkh - r - O - p - O - n,b - ri - kkh - r - O - p - O - n,❌,
অপারেশন থিয়েটার,o - p - a - r - e - sh - o - n - | - th - i - y - e - T - a - r,o - p - a - r - e - sh - o - n - | - th - i - y - e - T - a - r,o - p - a - r - e - sh - o - n - | - th - i - y - e - T - a - r,✅,
আইসিইউ,a - i - sh - i - i - u,a - i - s - i - i - u,a - i - s - i - i - u,❌,
ওয়ার্ড,O - y - a - r - D - O,O - y - a - r - D,O - y - a - r - D,❌,
প্যাথলজি,p - A - th - l - j - i,p - A - th - O - l - O - j - i,p - A - th - O - l - O - j - i,❌,
রেডিওলজি,r - e - D - i - O - l - j - i,r - e - D - i - O - l - O - j - i,r - e - D - i - O - l - O - j - i,❌,
ফার্মেসি,ph - a - r - m - e - sh - i,ph - a - r - m - e - s - i,ph - a - r - m - e - s - i,❌,
বড়ি,b - O - r - i,b - O - r - i,b - O - r - i,✅,
সিরাপ,sh - i - r - a - p,s - i - r - a - p,s - i - r - a - p,❌,
ইনজেকশন,i - n - j - e - k - sh - O - n,i - n - j - e - k - sh - o - n,i - n - j - e - k - sh - o - n,❌,
মলম,m - o - l - O - m,m - o - l - O - m,m - o - l - O - m,✅,
ড্রপ,D - r - o - p,D - r - o - p,D - r - o - p,✅,
দাঁতের ডাক্তার,d - a~ - t - e - r - | - D - a - kt - a - r,d - a~ - t - e - r - | - D - a - kt - a - r,d - a~ - t - e - r - | - D - a - kt - a - r,✅,
চোখের ডাক্তার,ch - O - kh - e - r - | - D - a - kt - a - r,ch - O - kh - e - r - | - D - a - kt - a - r,ch - O - kh - e - r - | - D - a - kt - a - r,✅,
দাঁতের মাজন,d - a~ - t - e - r - | - m - a - j - O - n,d - a~ - t - e - r - | - m - a - j - O - n,d - a~ - t - e - r - | - m - a - j - O - n,✅,
মানসিক স্বাস্থ্য,m - a - n - sh - i - k - | - sh - a - s - th - O,m - a - n - O - sh - i - k - | - sh - a - s - th - O,m - a - n - O - sh - i - k - | - sh - a - s - th - O,❌,
অবসাদ,o - b - sh - a - d,o - b - O - sh - a - d,o - b - O - sh - a - d,❌,
মনোবিদ,m - o - n - O - b - i - d,m - O - n - O - b - i - d,m - O - n - O - b - i - d,❌,
পরামর্শ,p - o - r - a - m - o - r - sh - O,p - o - r - a - m - o - r - sh - O,p - o - r - a - m - o - r - sh - O,✅,
চাপ,ch - a - p,ch - a - p,ch - a - p,✅,
সাঁতারু,sh - a~ - t - a - r - u,sh - a~ - t - a - r - u,sh - a~ - t - a - r - u,✅,
সুইমিংপুল,sh - u - i - m - i - ng - p - u - l,s - u - i - m - i - ng - p - u - l,s - u - i - m - i - ng - p - u - l,❌,
দৌড়বিদ,d - ou - r - b - i - d,d - ou - r - b - i - d,d - ou - r - b - i - d,✅,
লাফ,l - a - ph,l - a - ph,l - a - ph,✅,
বর্শা নিক্ষেপ,b - o - r - sh - a - | - n - i - kkh - e - p,b - o - r - sh - a - | - n - i - kkh - e - p,b - o - r - sh - a - | - n - i - kkh - e - p,✅,
গোলক নিক্ষেপ,g - O - l - o - k - | - n - i - kkh - e - p,g - O - l - O - k - | - n - i - kkh - e - p,g - O - l - O - k - | - n - i - kkh - e - p,❌,
টেবিল টেনিস,T - e - b - i - l - | - T - e - n - i - sh,T - e - b - i - l - | - T - e - n - i - s,T - e - b - i - l - | - T - e - n - i - s,❌,
দাবার ঘুঁটি,d - a - b - a - r - | - gh - u~ - T - i,d - a - b - a - r - | - gh - u~ - T - i,d - a - b - a - r - | - gh - u~ - T - i,✅,
কবাডি,k - o - b - a - D - i,k - o - b - a - D - i,k - o - b - a - D - i,✅,
ক্যারাম,k - A - r - a - m,k - A - r - a - m,k - A - r - a - m,✅,
লুডুর গুটি,l - u - D - u - r - | - g - u - T - i,l - u - D - u - r - | - g - u - T - i,l - u - D - u - r - | - g - u - T - i,✅,
তাস,t - a - sh,t - a - sh,t - a - sh,✅,
কুংফু,k - u - ng - ph - u,k - u - ng - ph - u,k - u - ng - ph - u,✅,
কারাতে,k - a - r - a - t - e,k - a - r - a - t - e,k - a - r - a - t - e,✅,
জুডো,j - u - D - O,j - u - D - O,j - u - D - O,✅,
মুষ্টিযুদ্ধ,m - u - shT - i - j - u - d - dh - O,m - u - shT - i - j - u - d - dh - O,m - u - shT - i - j - u - d - dh - O,✅,
কুস্তি,k - u - st - i,k - u - st - i,k - u - st - i,✅,
নৃত্যশিল্পী,n - ri - t - t - sh - i - l - p - i,n - ri - t - t - O - sh - i - l - p - i,n - ri - t - t - O - sh - i - l - p - i,❌,
লোকনৃত্য,l - O - k - n - ri - t - t - O,l - O - k - O - n - ri - t - t - O,l - O - k - O - n - ri - t - t - O,❌,
শাস্ত্রীয় নৃত্য,sh - a - s - t - r - i - y - | - n - ri - t - t - O,sh - a - s - t - r - i - y - O - | - n - ri - t - t - O,sh - a - s - t - r - i - y - O - | - n - ri - t - t - O,❌,
নৃত্যনাট্য,n - ri - t - t - n - a - T - T - O,n - ri - t - t - O - n - a - T - T - O,n - ri - t - t - O - n - a - T - T - O,❌,
চিত্রশিল্পী,ch - i - tr - sh - i - l - p - i,ch - i - tr - O - sh - i - l - p - i,ch - i - tr - O - sh - i - l - p - i,❌,
ভাস্কর,bh - a - s - k - o - r,bh - a - sh - k - o - r,bh - a - sh - k - o - r,❌,
তুলি,t - u - l - i,t - u - l - i,t - u - l - i,✅,
রং তুলি,r - O - ng - | - t - u - l - i,r - o - ng - | - t - u - l - i,r - o - ng - | - t - u - l - i,❌,
ক্যানভাস,k - A - n - bh - a - sh,k - A - n - bh - a - s,k - A - n - bh - a - s,❌,
কুমোরপাড়া,k - u - m - O - r - p - a - r - a,k - u - m - O - r - p - a - r - a,k - u - m - O - r - p - a - r - a,✅,
নকশিকাঁথা,n - o - k - sh - i - k - a~ - th - a,n - o - k - sh - i - k - a~ - th - a,n - o - k - sh - i - k - a~ - th - a,✅,
বাঁশের কাজ,b - a~ - sh - e - r - | - k - a - j,b - a~ - sh - e - r - | - k - a - j,b - a~ - sh - e - r - | - k - a - j,✅,
গল্প,g - o - l - p - O,g - o - l - p - O,g - o - l - p - O,✅,
প্রবন্ধ,pr - o - b - o - ndh - O,pr - O - b - O - ndh - O,pr - O - b - O - ndh - O,❌,
ছন্দ,chh - o - nd - O,chh - o - nd - O,chh - o - nd - O,✅,
ইতিহাসবিদ,i - t - i - h - a - sh - b - i - d,i - t - i - h - a - sh - b - i - d,i - t - i - h - a - sh - b - i - d,✅,
স্বাধীনতা সংগ্রাম,sh - a - dh - i - n - t - a - | - sh - o - ng - gr - a - m,sh - a - dh - i - n - o - t - a - | - sh - o - ng - gr - a - m,sh - a - dh - i - n - o - t - a - | - sh - o - ng - gr - a - m,❌,
ভোটার,bh - O - T - a - r,bh - O - T - a - r,bh - O - T - a - r,✅,
রাজনীতিবিদ,r - a - j - n - i - t - i - b - i - d,r - a - j - n - i - t - i - b - i - d,r - a - j - n - i - t - i - b - i - d,✅,
রায়ের কপি,r - a - y - e - r - | - k - O - p - i,r - a - y - e - r - | - k - o - p - i,r - a - y - e - r - | - k - o - p - i,❌,
কারাগার,k - a - r - a - g - a - r,k - a - r - a - g - a - r,k - a - r - a - g - a - r,✅,
দমকল বাহিনী,d - o - m - k - O - l - | - b - a - h - i - n - i,d - o - m - k - o - l - | - b - a - h - i - n - i,d - o - m - k - o - l - | - b - a - h - i - n - i,❌,
সুনামি,sh - u - n - a - m - i,s - u - n - a - m - i,s - u - n - a - m - i,❌,
ভূমিধস,bh - u - m - i - dh - o - sh,bh - u - m - i - dh - o - sh,bh - u - m - i - dh - o - sh,✅,
উপকূল,u - p - k - u - l,u - p - O - k - u - l,u - p - O - k - u - l,❌,
মালভূমি,m - a - l - bh - u - m - i,m - a - l - bh - u - m - i,m - a - l - bh - u - m - i,✅,
উল্কা,u - l - k - a,u - l - k - a,u - l - k - a,✅,
কৃষ্ণগহ্বর,k - ri - shN - g - o - b - b - o - r,k - ri - shN - O - g - o - h - O - b - b - o - r,k - ri - shN - O - g - o - h - O - b - b - o - r,❌,
মহাবিশ্ব,m - o - h - a - b - i - sh - sh - O,m - o - h - a - b - i - sh - sh - O,m - o - h - a - b - i - sh - sh - O,✅,
প্রোগ্রামার,pr - O - gr - a - m - a - r,pr - O - gr - a - m - a - r,pr - O - gr - a - m - a - r,✅,
সফটওয়্যার প্রকৌশলী,sh - o - ph - T - O - y - a - r - | - pr - o - k - ou - sh - l - i,s - o - ph - T - o - y - a - r - | - pr - o - k - ou - sh - O - l - i,s - o - ph - T - o - y - a - r - | - pr - o - k - ou - sh - O - l - i,❌,
সার্ভার,sh - a - r - bh - a - r,s - a - r - bh - a - r,s - a - r - bh - a - r,❌,
রাউটার,r - a - u - T - a - r,r - a - u - T - a - r,r - a - u - T - a - r,✅,
অ্যাপ্লিকেশন,A - p - l - i - k - e - sh - o - n,A - p - l - i - k - e - sh - o - n,A - p - l - i - k - e - sh - o - n,✅,
অনলাইন কেনাকাটা,o - n - l - a - i - n - | - k - e - n - a - k - a - T - a,o - n - l - a - i - n - | - k - e - n - a - k - a - T - a,o - n - l - a - i - n - | - k - e - n - a - k - a - T - a,✅,
কার্ট,k - a - r - T - O,k - a - r - T,k - a - r - T,❌,
চেকআউট,ch - e - k - a - u - T,ch - e - k - a - u - T,ch - e - k - a - u - T,✅,
রিভিউ,r - i - bh - i - u,r - i - bh - i - u,r - i - bh - i - u,✅,
রিফান্ড,r - i - ph - a - n - D - O,r - i - ph - a - n - D,r - i - ph - a - n - D,❌,
ডেলিভারি,D - e - l - i - bh - a - r - i,D - e - l - i - bh - a - r - i,D - e - l - i - bh - a - r - i,✅,
সম্পাদনা,sh - o - mp - a - d - n - a,sh - o - mp - a - d - O - n - a,sh - o - mp - a - d - O - n - a,❌,
পরিচালনা,p - O - r - i - ch - a - l - n - a,p - O - r - i - ch - a - l - O - n - a,p - O - r - i - ch - a - l - O - n - a,❌,
শুটিং স্পট,sh - u - T - i - ng - | - s - p - o - T,sh - u - T - i - ng - | - s - p - o - T,sh - u - T - i - ng - | - s - p - o - T,✅,
মঞ্চ,m - o - nch - O,m - o - nch - O,m - o - nch - O,✅,
সংলাপ বলা,sh - o - ng - l - a - p - | - b - o - l - a,sh - o - ng - l - a - p - | - b - o - l - a,sh - o - ng - l - a - p - | - b - o - l - a,✅,
অভিনয়,o - bh - i - n - o - y,o - bh - i - n - o - y,o - bh - i - n - o - y,✅,
গায়ে হলুদ,g - a - y - e - | - h - O - l - u - d,g - a - y - e - | - h - O - l - u - d,g - a - y - e - | - h - O - l - u - d,✅,
বাসর ঘর,b - a - sh - O - r - | - gh - o - r,b - a - sh - O - r - | - gh - o - r,b - a - sh - O - r - | - gh - o - r,✅,
যৌতুক,j - ou - t - u - k,j - ou - t - u - k,j - ou - t - u - k,✅,
বিয়ের কার্ড,b - i - y - e - r - | - k - a - r - D - O,b - i - y - e - r - | - k - a - r - D,b - i - y - e - r - | - k - a - r - D,❌,
কনেযাত্রী,k - O - n - e - j - a - tr - i,k - O - n - e - j - a - tr - i,k - O - n - e - j - a - tr - i,✅,
দাফন,d - a - ph - O - n,d - a - ph - O - n,d - a - ph - O - n,✅,
কবরস্থান,k - o - b - r - sth - a - n,k - o - b - O - r - sth - a - n,k - o - b - O - r - sth - a - n,❌,
শ্মশান,sh - m - o - sh - a - n,sh - o - sh - a - n,sh - o - sh - a - n,❌,
শোকযাত্রা,sh - O - k - j - a - tr - a,sh - O - k - O - j - a - tr - a,sh - O - k - O - j - a - tr - a,❌,
কুলখানি,k - u - l - kh - a - n - i,k - u - l - kh - a - n - i,k - u - l - kh - a - n - i,✅,
শিশুর জন্ম,sh - i - sh - u - r - | - j - o - n - m - O,sh - i - sh - u - r - | - j - o - n - m - O,sh - i - sh - u - r - | - j - o - n - m - O,✅,
বেবি ফুড,b - e - b - i - | - ph - u - D,b - e - b - i - | - ph - u - D,b - e - b - i - | - ph - u - D,✅,
খেলনা গাড়ি,kh - E - l - n - a - | - g - a - r - i,kh - E - l - n - a - | - g - a - r - i,kh - E - l - n - a - | - g - a - r - i,✅,
টিকা,T - i - k - a,T - i - k - a,T - i - k - a,✅,
বৃদ্ধাশ্রম,b - ri - d - dh - a - s - r - o - m,b - ri - d - dh - a - s - r - o - m,b - ri - d - dh - a - s - r - o - m,✅,
লাঠি,l - a - Th - i,l - a - Th - i,l - a - Th - i,✅,
প্রতিবন্ধী,pr - o - t - i - b - ndh - i,pr - O - t - i - b - O - ndh - i,pr - O - t - i - b - O - ndh - i,❌,
শ্রবণযন্ত্র,s - r - o - b - n - j - O - n - t - r - O,s - r - O - b - O - n - j - o - n - t - r - O,s - r - O - b - O - n - j - o - n - t - r - O,❌,
ফসল কাটা,ph - o - sh - O - l - | - k - a - T - a,ph - o - sh - O - l - | - k - a - T - a,ph - o - sh - O - l - | - k - a - T - a,✅,
সার প্রয়োগ,sh - a - r - | - pr - o - y - O - g,sh - a - r - | - pr - o - y - O - g,sh - a - r - | - pr - o - y - O - g,✅,
বীজতলা,b - i - j - t - l - a,b - i - j - t - o - l - a,b - i - j - t - o - l - a,❌,
কীটনাশক,k - i - T - n - a - sh - o - k,k - i - T - n - a - sh - O - k,k - i - T - n - a - sh - O - k,❌,
গোলাঘর,g - O - l - a - gh - O - r,g - O - l - a - gh - o - r,g - O - l - a - gh - o - r,❌,
গোয়ালঘর,g - O - y - a - l - gh - O - r,g - O - y - a - l - gh - o - r,g - O - y - a - l - gh - o - r,❌,
মুরগির খামার,m - u - r - g - i - r - | - kh - a - m - a - r,m - u - r - g - i - r - | - kh - a - m - a - r,m - u - r - g - i - r - | - kh - a - m - a - r,✅,
দুধ দোহন,d - u - dh - | - d - O - h - o - n,d - u - dh - | - d - O - h - O - n,d - u - dh - | - d - O - h - O - n,❌,
পশুখাদ্য,p - O - sh - u - kh - a - d - d - O,p - O - sh - u - kh - a - d - d - O,p - O - sh - u - kh - a - d - d - O,✅,
খাঁচা,kh - a~ - ch - a,kh - a~ - ch - a,kh - a~ - ch - a,✅,
জাল,j - a - l,j - a - l,j - a - l,✅,
মাছ ধরা,m - a - chh - | - dh - o - r - a,m - a - chh - | - dh - o - r - a,m - a - chh - | - dh - o - r - a,✅,
ট্রলার,T - r - o - l - a - r,T - r - o - l - a - r,T - r - o - l - a - r,✅,
বনরক্ষী,b - o - n - r - kkh - i,b - o - n - r - O - kkh - i,b - o - n - r - O - kkh - i,❌,
গাছ কাটা,g - a - chh - | - k - a - T - a,g - a - chh - | - k - a - T - a,g - a - chh - | - k - a - T - a,✅,
পোশাক কারখানা,p - O - sh - a - k - | - k - a - r - kh - a - n - a,p - O - sh - a - k - | - k - a - r - kh - a - n - a,p - O - sh - a - k - | - k - a - r - kh - a - n - a,✅,
সেলাই মেশিন,sh - e - l - a - i - | - m - e - sh - i - n,sh - e - l - a - i - | - m - e - sh - i - n,sh - e - l - a - i - | - m - e - sh - i - n,✅,
বোতাম,b - O - t - a - m,b - O - t - a - m,b - O - t - a - m,✅,
রং করা,r - O - ng - | - k - o - r - a,r - O - ng - | - k - o - r - a,r - O - ng - | - k - o - r - a,✅,
প্যাকেজিং,p - A - k - e - j - i - ng,p - A - k - e - j - i - ng,p - A - k - e - j - i - ng,✅,
রপ্তানি,r - o - p - t - a - n - i,r - o - p - t - a - n - i,r - o - p - t - a - n - i,✅,
আমদানি,a - m - d - a - n - i,a - m - d - a - n - i,a - m - d - a - n - i,✅,
শেয়ার বাজার,sh - e - y - a - r - | - b - a - j - a - r,sh - e - y - a - r - | - b - a - j - a - r,sh - e - y - a - r - | - b - a - j - a - r,✅,
ফ্ল্যাট,ph - l - A - T,ph - l - A - T,ph - l - A - T,✅,
প্লট,p - l - o - T,p - l - o - T,p - l - o - T,✅,
দালান,d - a - l - a - n,d - a - l - a - n,d - a - l - a - n,✅,
ভিত্তি প্রস্তর,bh - i - tt - i - | - pr - o - st - o - r,bh - i - tt - i - | - pr - o - st - o - r,bh - i - tt - i - | - pr - o - st - o - r,✅,
কাঠমিস্ত্রি,k - a - Th - m - i - s - t - r - i,k - a - Th - m - i - s - t - r - i,k - a - Th - m - i - s - t - r - i,✅,
ঝালাই কর্মী,jh - a - l - a - i - | - k - O - r - m - i,jh - a - l - a - i - | - k - O - r - m - i,jh - a - l - a - i - | - k - O - r - m - i,✅,
রং মিস্ত্রি,r - O - ng - | - m - i - s - t - r - i,r - O - ng - | - m - i - s - t - r - i,r - O - ng - | - m - i - s - t - r - i,✅,
ইঞ্জিন,i - nj - i - n,i - nj - i - n,i - nj - i - n,✅,
চাকা,ch - a - k - a,ch - a - k - a,ch - a - k - a,✅,
ব্রেক,br - e - k,br - e - k,br - e - k,✅,
হর্ন,h - o - r - n - O,h - o - r - n,h - o - r - n,❌,
হেডলাইট,h - e - D - l - a - i - T,h - e - D - l - a - i - T,h - e - D - l - a - i - T,✅,
প্যাডেল,p - A - D - e - l,p - A - D - e - l,p - A - D - e - l,✅,
বিমানচালক,b - i - m - a - n - ch - a - l - o - k,b - i - m - a - n - ch - a - l - O - k,b - i - m - a - n - ch - a - l - O - k,❌,
রানওয়ে,r - a - n - O - y - e,r - a - n - O - y - e,r - a - n - O - y - e,✅,
নাবিক,n - a - b - i - k,n - a - b - i - k,n - a - b - i - k,✅,
বন্দর,b - o - nd - o - r,b - o - nd - O - r,b - o - nd - O - r,❌,
লাইটহাউস,l - a - i - T - h - a - u - sh,l - a - i - T - h - a - u - s,l - a - i - T - h - a - u - s,❌,
রেললাইন,r - E - l - l - a - i - n,r - e - l - l - a - i - n,r - e - l - l - a - i - n,❌,
প্ল্যাটফর্ম,p - l - A - T - ph - O - r - m - O,p - l - A - T - ph - O - r - m,p - l - A - T - ph - O - r - m,❌,
